pdbid,-logKd/Ki,SMILES
1mwt,1.88,O=C[C@H]([C@@H]1[NH2+][C@H](C(S1)(C)C)C(=O)O)NC(=O)Cc1ccccc1
1mx1,4,Nc1c2CCCCc2nc2c1cccc2
1mxl,3.81,[NH3+]CCCC[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CO)C)CC(=O)O)C)CCSC)CCSC)CCC(=O)N)C)CC(C)C)CC(C)C)C)CCC[NH+]=C(N)N)C
1mxo,9,O=C(N[C@@H](c1cccc(c1)C(=O)O)B(O)O)Cc1cccs1
1mxu,5.4,OC(=O)[C@H](Cn1cc(Br)c(=O)[nH]c1=O)[NH3+]
1my2,7.77,OC(=O)[C@H](Cc1c(C)onc1O)[NH3+]
1my3,5.4,OC(=O)[C@H](Cn1cc(Br)c(=O)[nH]c1=O)[NH3+]
1my4,6.98,OC(=O)[C@H](Cn1cc(I)c(=O)[nH]c1=O)[NH3+]
1my8,7.46,O=C(N[C@@H](c1ccccc1)B(O)O)Cc1cccs1
1mzc,10.22,N#Cc1ccc(cc1Oc1cccc(c1)[C@]1(CC)CCCCN(C1=O)C)[C@@](c1cncn1C)([NH3+])C
1mzs,5.15,OC(=O)CCCCCn1c(cc2c1ccc(c2)OCc1c(Cl)cccc1Cl)C(=O)O
1n0s,7.45,Oc1ccc2c(c1)oc1c(c2c2ccccc2C(=O)O)ccc(=O)c1
1n0t,4.91,OC(=O)[C@H](Cc1c(noc1C(C)(C)C)OCP(O)(O)O)[NH3+]
1n1g,2.3,Brc1nc(Cl)c2c(n1)[nH]cn2
1n1m,5.7,[NH3+][C@H](C(=O)N1CCCC1)C(C)C
1n1t,3.85,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O
1n1v,3.85,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O
1n2v,4.08,CCCCc1nc2c([nH]1)c(=O)[nH][nH]c2=O
1n3i,8.89,OC[C@H]1C[N@H+](C[C@@H]1O)Cc1c[nH]c2c1nc[nH]c2=O
1n3w,6.96,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
1n3z,4.2,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)(O)O)O)n1ccc(=O)[nH]c1=O
1n43,10.55,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
1n46,10.52,Cc1cc(cc(c1Oc1ccc(c(c1)C(C)C)O)C)n1ncc(=O)[nH]c1=O
1n4h,6.55,C/C(=C\C=C\C(=C\C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C
1n4k,10.05,O[C@@H]1[C@@H](OP(O)(O)O)[C@H](OP(O)(O)O)[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)O
1n4m,6.72,OC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(=O)O)Cc1ccccc1)CC(C)C)CC(=O)O)NC(=O)[C@H]([C@H](CC)C)NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)[NH3+])CC(=O)O)Cc1ccc(cc1)O)CC(C)C)CC(C)C)CCC(=O)O)C)CCC(=O)O
1n51,4.85,C[C@@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H]([C@@H](Cc1ccccc1)[NH3+])O
1n5r,5.66,CC[N+](CCC[n+]1c(c2ccccc2)c2cc(N)ccc2c2c1cc(N)cc2)(CC)C
1n5z,4.36,CSCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)CC(=O)O)CCC[NH+]=C(N)N)Cc1[nH]cnc1)CC(C)C)[C@H](O)C)[NH3+]
1n7i,6.59,Clc1ccc2c(c1Cl)C[NH2+]CCC2
1n7j,6.43,Ic1ccc2c(c1)C[NH2+]CC2
1n7m,5.71,C=CC1=C(C)[C@H]2[NH2+][C@H]1/C=C/1\N[C@H](C(=C1C)CCC(O)O)CC1=N[C@H](C[C@@H]3[N@H+]([C@H](C2)C(=C3C)C=C)C)C(=C1CCC(O)O)C
1n7t,6.82,OC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)Cc1c[nH]c2c1cccc2)[C@H](O)C)NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)CNC(=O)[C@H]([C@H](O)C)[NH3+]
1n8u,6.03,OCCCCCCCCCCCCBr
1n8v,6.03,OCCCCCCCCCCCCBr
1n94,8.96,CCCC[N@H+](Cc1ccc(c(c1)c1ccccc1C)C(=O)N[C@H](C(=O)O)CCSC)CCC1CCCCC1
1n95,8.92,N#CC1=C(CN(CC1)C(=O)[C@H](Cc1cncn1C)[NH2+]Cc1ccc(cc1)C#N)c1cccc2c1cccc2
1n9a,8.66,N#CC1=C(CN(CC1)C(=O)Cc1cncn1Cc1ccc(cc1)C#N)c1cccc2c1cccc2
1n9m,10.96,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
1nax,6.43,OC(=O)Cc1cc(Cl)c(c(c1)Cl)Oc1ccc(c(c1)C(C)C)O
1nc1,6.12,CSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc2c1ncnc2N
1nc3,5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1ncnc2N
1nc6,8,O[C@@H]1C[C@H](N(C1)C(=O)C)[C@H]([NH2+][C@H]([C@@H](c1nc2c(s1)cccc2)O)CCC[NH+]=C(N)N)O
1nd5,8.4,OP([C@H](c1ccccc1)[NH2+]Cc1ccccc1)(O)O
1nde,7.82,Oc1ccc(cc1)CCNc1nc(SCCCc2ccc(cc2)Cl)nc(n1)N1CC[NH2+]CC1
1ndj,12.16,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
1ndv,5.92,NC(=[NH+]c1scc(n1)c1ccc(s1)CNc1nc2c([nH]1)cccc2)N
1ndw,5.23,OC[C@H](n1cnc(c1)C(=O)N)CCc1ccccc1
1ndy,6.17,OC[C@H](n1cnc(c1)C(=O)N)CCc1cccc2c1cccc2
1ndz,8.11,OC[C@H](n1cnc(c1)C(=O)N)CCn1ccc2c1cc(cc2)NC(=O)CCc1nc2c(n1C)cccc2
1nf8,7.82,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O
1nfs,9.92,OP(OP(O)(O)O)(OCC[NH+](C)C)O
1nfu,7.74,Clc1ccc2c(c1)sc(c2)S(=O)(=O)N1CCN(C(=O)C1)Cc1cccc(c1)C(=[NH2+])N
1nfw,8.96,O=C1CN(CCN1Cc1cc2c([nH]1)ccnc2)S(=O)(=O)/C=C/c1ccc(s1)Cl
1nfx,8.52,OCCn1c(CN2CCN(CC2=O)S(=O)(=O)c2cc3c(s2)cc(cc3)Cl)cc2c1ccnc2
1nfy,8.89,Clc1ccc2c(c1)sc(c2)S(=O)(=O)N1CCN(C(=O)C1)Cc1ccc(cc1)C(=[NH2+])N
1ngw,7.68,CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CC)c4C)c(c3CCC(=O)O)C
1nh0,9.74,O=C(N[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC(=O)O)CCC(=O)O)Cc1ccccc1)O)Cc1ccccc1)OCc1ccccc1
1nhg,7.3,Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
1nhu,5.66,Clc1ccc(c(c1)Cl)C(=O)N([C@H](C(=O)O)Cc1ccccc1)Cc1cccc(c1)C(F)(F)F
1nhv,5.66,Clc1ccc(c(c1)Cl)C(=O)N([C@H](C(=O)O)Cc1ccccc1)Cc1ccc(s1)c1cc2c(o1)cccc2
1nhw,4.84,Clc1ccc(c(c1)Cl)Nc1ccccc1O
1nhx,5.68,CCCCn1c2[nH]c(nc2c(=O)n(c1=O)Cc1ccccc1F)Cc1ccc(cc1)NC(=O)C
1nhz,6.08,CC#C[C@]1(O)CC[C@@H]2[C@]1(C)C[C@H](c1ccc(cc1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@H]21
1ni1,9.05,N#Cc1ccc(cc1)[C@H](c1cncn1C)OCc1nc(Cl)c(cc1c1cccc(c1)Cl)C#N
1nj1,7.6,SC[C@@H](C(=O)NS(=O)(=O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
1nj5,7.3,O[C@@H]1[C@@H](COS(=O)(=O)NC(=O)[C@@H]2CCC[NH2+]2)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1nja,6.31,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(nc1=O)N
1njb,5.8,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(=O)[nH]c1=O
1njc,5.55,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(nc1=O)N
1njd,5.57,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(=O)[nH]c1=O
1nje,3.8,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)O)n1ccc(nc1=O)N
1njf,6.21,O[C@@H]1[C@@H](COP(OP(OP(S)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1njj,2.1,C[NH2+][C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H]([NH3+])C[C@@H]([C@H]([C@@H]1O)O[C@H]1O[C@H]([C@@H](O)C)[C@H]([C@@H]([C@H]1[NH3+])O)O)[NH3+]
1njs,7.82,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)[C@H](C(C(F)(F)F)(O)O)CCCc1c(N)nc([nH]c1=O)N
1njt,4.82,OC[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C(=O)O)(C)C)NC(=O)[C@H](C(C)C)NC(=O)C)CC(=O)N(C)C)C
1nju,7.3,[NH3+]CCCCCC(=O)N[C@@H](C(C)(C)C)C(=O)N[C@@H](C(C)(C)C)C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@@H](c1ccccc1)CC)O)C)CC(=O)N(C)C
1nki,6.7,OC(=O)P(O)(O)O
1nkm,7.3,[NH3+]CCCCCC(=O)N[C@@H](C(C)(C)C)C(=O)N[C@@H](C(C)(C)C)C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@@H](c1ccccc1)CC)O)C)CC(=O)N(C)C
1nl4,9.41,N#Cc1cccc(c1)CN(c1ccc(c(c1)c1cccc2c1cccc2)C#N)Cc1cncn1C
1nl6,11.32,CC(C[C@@H](C(=O)N[C@H]1CCCN(C[C@@H]1O)C(=O)Cc1cccc(c1)c1ccccn1)NC(=O)c1cc2c(o1)ccc(c2)OCC[NH+]1CCOCC1)C
1nl9,5.96,CCCCCNC(=O)[C@H](Cc1ccc(c2c1cccc2)N(c1ccccc1C(=O)O)C(=O)C(=O)O)NC(=O)C
1nli,3.59,Nc1ncnc2c1[nH]cn2
1nlj,9.8,CC(C[C@@H](C(=O)N[C@H]1CCCN(C[C@@H]1O)S(=O)(=O)c1ccccn1)NC(=O)c1cc2c(o1)cccc2)C
1nlo,5.47,[NH3+]Cc1ccc(cc1)CN(C(=O)c1ccc(cc1)CN(C(=O)C)CC(C)C)CCC(=O)N1CCC(CC1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N)CC(C)C)CC(C)C
1nlp,4.96,CC(C[C@@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N)CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCN(CC1)C(=O)c1nc(sc1C(C)C)[C@@H]1Cc2ccccc2CN1C(=O)C)C
1nlt,4.92,[NH3+]CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C=O)CO)[C@H](CC)C)CCC(=O)O)Cc1ccc(cc1)O)CC(C)C)Cc1c[nH]c2c1cccc2
1nm6,10.05,O=C1NCc2ccccc2CC[NH2+]CCC[NH2+]C[C@@H](Nc2c(=O)n(C1)c(Cl)cn2)Cc1ccccc1
1nmk,8.24,OC/C=C(/[C@@H]1C/C=C/C=C/[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[NH2+][C@H](C(=O)O1)CCC2)Cc1cccc(c1)O)C(C)C)\C
1nms,6.7,OC(=O)C[C@@H](C(=O)C)NC(=O)c1ccc(cc1)CNS(=O)(=O)c1ccc(c(c1)C(=O)O)O
1nnb,5,OC[C@H]([C@H]([C@@H]1OC(=C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O
1nnk,5.46,[NH3+][C@H](C(=O)O)Cc1c(o[nH]c1=O)C(C)(C)C
1nnu,6.82,Clc1ccc(c(c1)O)Oc1ccc2c(c1)ccc(c2)O
1nny,7.66,CC(=O)N[C@H](C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)O)Cc1ccc(c2c1cccc2)N(c1ccccc1C(=O)O)C(=O)C(=O)O
1no6,4.41,OC(=O)C(=O)N(c1cccc2c1cccc2)c1ccccc1C(=O)O
1no9,7.62,O=CN(c1ccccc1)c1ccccc1
1noi,3.15,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnn2)O
1noj,3.15,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnn2)O
1nok,3.15,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnn2)O
1nox,7.05,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C
1np0,3.57,OC[C@H]1O[C@@H]2SC(=N[C@@H]2[C@H]([C@@H]1O)O)C
1npa,8.7,O=C(N[C@H]([C@H](C[C@@]1(NC=C(C1=O)[C@@H]1[C@H](OC(=O)N)Cc2c1cccc2)Cc1ccccc1)O)Cc1ccccc1)O[C@@H]1COCC1
1npv,8.24,O=C(N[C@H]([C@H](C[C@@]1(NC=C(C1=O)[C@@H]1CNC(=O)c2c1cccc2)Cc1ccccc1)O)Cc1ccccc1)O[C@@H]1COCC1
1npw,8.7,O=C(N[C@H]([C@H](C[C@@]1(NC=C(C1=O)[C@@H]1[C@H](OC(=O)N)Cc2c1cccc2)Cc1ccccc1)O)Cc1ccccc1)O[C@@H]1COCC1
1npz,7.89,CC(C[C@@H](C(=O)N[C@H](CCS(=O)(=O)c1ccccc1)CCc1ccccc1)NC(=O)N1CCOCC1)C
1nq0,10.32,OC(=O)Cc1cc(I)c(c(c1)I)Oc1ccc(c(c1)I)O
1nq7,6.8,C/C(=C\C=C\C(=C\C(=O)O)\C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C
1nqc,7.3,O=C[C@@H](NC(=O)[C@@H](NC(=O)N1CCOCC1)Cc1ccccc1)CSCc1ccccc1
1nt1,8.89,O=C1NCCC(=O)N[C@H](C2CCCCC2)C(=O)N2[C@H](C(=O)NCc3c(OC1)ccc(c3)Cl)CCC2
1ntk,10.49,CCCCCC[C@H]1C(=O)O[C@H](C)[C@@H](C(=O)O[C@H]([C@@H]1OC(=O)C(C)C)C)NC(=O)C1=CCC=C(C1=O)NC=O
1ntv,5.82,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)O)[C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)N)[NH3+])Cc1ccccc1)CC(=O)O)CC(=O)N)Cc1ccc(cc1)O)CCC[NH+]=C(N)N
1nu1,7.19,CCCCCCCCCc1cc(O)c2c([n+]1[O-])cccc2
1nu3,4,CCCC(C(=O)N)CCC
1nu8,5.42,CC[C@@H]([C@@H](C(=O)O)[NH2+][C@@H]([C@@H]1CCCN1C(=O)[C@H]([C@H](CC)C)[NH3+])O)C
1nvq,8.25,C[NH2+][C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3[C@H](NC1=O)O
1nvr,8.11,C[NH2+][C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O
1nvs,7.82,O=c1[nH]c(=O)c2c1c1c3c4c2c2ccccc2n4[C@@H]2O[C@H](n3c3c1cccc3)CC2
1nw4,9.07,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
1nw5,5.21,C[S@](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+]
1nw7,5.09,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
1nwl,2.39,CC(=O)NCCSSCCNC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)c1nccnc1C(=O)O
1nxy,7.19,O=C(N[C@@H](c1cccc(c1)C(=O)O)B(O)O)Cc1cccs1
1ny0,5.85,CCOc1ccc2c(c1C(=O)NCB(O)O)cccc2
1ny2,2.76,NC(=[NH+]CCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)O)[NH3+])N
1nym,5.4,CO/N=C(/c1csc(n1)N)\C(=O)NCB(O)O
1nyx,7.04,CCO[C@H](C(=O)O)Cc1ccc(cc1)OCCN1c2ccccc2Oc2c1cccc2
1nyy,4.68,OB(CNC(=O)c1c(C)onc1c1ccccc1Cl)O
1nz7,7.12,CSCC[C@@H](C(=O)O)NC(=O)CCCCNC(=O)[C@H](Cc1ccc(c(c1)CC)N(c1ccccc1C(=O)O)C(=O)C(=O)O)NC(=O)C
1nzl,7.15,CC[C@@H]([C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C)NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)[C@@H](NC(=O)[C@@H]1CCC[NH2+]1)CCC(=O)N)CCC(=O)O)C
1nzq,7.96,OC(=O)C[NH2+][C@@H](C(=O)N1CC=C[C@H]1C(=O)NCc1cn(c(c1)C(=[NH2+])N)C)CC1CCCCC1
1nzv,6.4,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C)C(C)C)Cc1ccc(cc1)OP(O)(O)O)NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)[C@@H](NC(=O)[C@@H]1CCC[NH2+]1)CCC(=O)N)C
1o0d,8.21,O=C([C@@H]1C=CCN1C(=O)[C@@H](CC1CCCCC1)[NH2+]CC(=O)O)NCc1ccc(n1C)C(=[NH2+])N
1o0f,5.3,O[C@@H]1[C@H](OP(O)(O)O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(O)(O)O
1o0h,5.92,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1o0m,5.15,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)n1ccc(=O)[nH]c1=O
1o0n,4.09,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(O)(O)O)O)n1ccc(=O)[nH]c1=O
1o0o,5.1,O[C@@H]1[C@@H](COP(O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N
1o1s,7.31,C/C(=C\CC/C(=C/COP(OP(O)(O)O)(O)O)/C)/COCc1cccc(c1)C(=O)c1ccccc1
1o2g,6.12,Oc1c(cccc1c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o2h,7.17,Oc1c(cccc1c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)OC1CCCC1
1o2j,6.92,CC(COc1cccc(c1O)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)C
1o2k,6.92,CC(COc1cccc(c1O)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)C
1o2n,6.09,Oc1c(cccc1c1ccccc1)c1[nH]c2c(n1)cc(c(c2)Cl)C(=[NH2+])N
1o2o,6.36,CC(COc1cccc(c1O)c1[nH]c2c(n1)cc(c(c2)F)C(=[NH2+])N)C
1o2p,4.85,CC(COc1cccc(c1O)c1[nH]c2c(n1)cc(c(c2)Cl)C(=[NH2+])N)C
1o2q,7.68,Oc1c(cccc1c1[nH]c2c(c1)cc(c(c2)Cl)C(=[NH2+])N)OC1CCCC1
1o2r,5.21,C[C@H]1CCCC[C@@H]1Oc1cccc(c1O)c1[nH]c2c(n1)cc(c(c2)F)C(=[NH2+])N
1o2s,5.47,Oc1ccccc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N
1o2t,7.85,COc1cc(c2cc3c([nH]2)ccc(c3)C(=[NH2+])N)c(c(c1)c1ccccc1)O
1o2u,5.85,OC(=O)C[C@H](c1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O)C(=O)O
1o2v,5.85,OC(=O)C[C@H](c1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O)C(=O)O
1o2w,5.85,OC(=O)C[C@H](c1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O)C(=O)O
1o2x,5.85,OC(=O)C[C@H](c1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O)C(=O)O
1o2y,5.85,OC(=O)C[C@H](c1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O)C(=O)O
1o2z,6.11,COc1ccccc1c1cc(cc(c1O)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)[C@H](C(=O)O)CC(=O)O
1o30,6.77,OC(=O)C[C@H](c1cc(c2nc3c([nH]2)ccc(c3)C(=[NH2+])N)c(c(c1)c1ccccc1F)O)C(=O)O
1o32,5.74,Oc1cccnc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N
1o33,5.74,Oc1cccnc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N
1o34,5.74,Oc1cccnc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N
1o35,5,Fc1ccc(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O
1o36,5.96,OC(=O)C[C@H](c1cc(c2nc3c([nH]2)ccc(c3)C(=[NH2+])N)c(c(c1)c1ccccc1N(=O)=O)O)C(=O)O
1o37,6.82,[NH3+]CCc1cc(c2nc3c([nH]2)ccc(c3)C(=[NH2+])N)c(c(c1)c1ccccc1)O
1o38,6.82,[NH3+]CCc1cc(c2nc3c([nH]2)ccc(c3)C(=[NH2+])N)c(c(c1)c1ccccc1)O
1o39,7.13,Oc1c(cccc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3b,7.13,Oc1c(cccc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3c,7.13,Oc1c(cccc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3d,7.13,Oc1c(cccc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3e,7.96,Oc1c(cccc1c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3f,7.96,Oc1c(cccc1c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3g,7.96,Oc1c(cccc1c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)c1ccccc1
1o3h,7.3,Cc1cc(Br)c(c(c1)c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)O
1o3i,7.3,Cc1cc(Br)c(c(c1)c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)O
1o3j,6.77,Cc1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O
1o3k,6.77,Cc1cc(Br)c(c(c1)c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)O
1o3l,6.54,OC(=O)Cc1cc(Br)c(c(c1)c1cc2c([nH]1)ccc(c2)C(=[NH2+])N)O
1o3p,6.66,Oc1c(cccc1c1nc2c([nH]1)ccc(c2)C(=[NH2+])N)OC1CCCC1
1o41,3.05,OCc1cccc(c1OP(O)(O)O)OC
1o42,8.05,CC(=O)N[C@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)Cc1ccc(cc1)OP(O)(O)O
1o43,5.66,OCc1cc(ccc1CC(=O)O)/C=C(/C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)\NC(=O)C
1o44,8.52,CC(=O)N[C@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)Cc1ccc(c(c1)C(=O)O)C(C(=O)O)C(=O)O
1o45,9.6,OCc1cc(ccc1OP(O)(O)O)C[C@@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)NC(=O)C
1o46,8,COC(=O)c1cc(ccc1C(C(=O)O)(C(=O)O)F)C[C@@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)NC(=O)C
1o47,8.4,CC(=O)N[C@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)Cc1ccc(cc1)C(P(O)(O)O)(F)F
1o48,6.35,CC(=O)N[C@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)Cc1ccc(c(c1)C(=O)O)CC(=O)O
1o49,6.36,OC(=O)COc1ccc(cc1P(O)(O)O)C[C@@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)NC(=O)C
1o4a,6.92,OCc1cc(ccc1C(=O)O)C[C@@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)NC(=O)C
1o4b,5.7,CC(=O)N[C@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)Cc1ccc(c(c1)P(O)(O)O)P(O)(O)O
1o4d,3.52,OCc1ccccc1OP(O)(O)O
